year,BUYER_COUNTY,BUYER_STATE,opioid_converted_grams,FIPS,population
2006.0,BARRON,WI,5786.1835378625,55005,45678.0
2006.0,BARROW,GA,17712.1333818625,13013,63317.0
2006.0,BARRY,MI,7600.3860115875,26015,58826.0
2006.0,BARRY,MO,13435.0832948625,29009,35943.0
2006.0,BARTHOLOMEW,IN,32109.751908225,18005,73972.0
2006.0,BARTON,KS,5498.756745999999,20009,27727.0
2006.0,BARTON,MO,3482.194743,29011,12917.0
2006.0,BARTOW,GA,29031.607688625,13015,90369.0
2006.0,BASTROP,TX,12185.6660208625,48021,70375.0
2006.0,BATES,MO,3519.482379,29013,16975.0
2006.0,BATH,KY,1688.72368,21011,11583.0
2006.0,BATH,VA,464.969805,51017,4684.0
2006.0,BAXTER,AR,11600.248253175,05005,41155.0
2006.0,BAY,FL,61998.102472075,12005,163802.0
2006.0,BAY,MI,30781.1936288625,26017,107973.0
2006.0,BAYAMON,PR,5166.713745,72021,
2006.0,BAYFIELD,WI,488.8284,55007,14978.0
2006.0,BAYLOR,TX,1059.468225,48023,3833.0
2006.0,BEADLE,SD,1064.526375,46005,15501.0
2006.0,BEARLAKE,ID,2507.815269,16007,5907.0
2006.0,BEAUFORT,NC,12270.997761725,37013,45891.0
2006.0,BEAUFORT,SC,27947.0290258,45013,144190.0
2006.0,BEAUREGARD,LA,5257.4396518625,22011,34624.0
2006.0,BEAVER,OK,349.98269999999997,40007,5313.0
2006.0,BEAVER,PA,49329.142256437495,42007,173928.0
2006.0,BEAVER,UT,1844.926770225,49001,6113.0
2006.0,BEAVERHEAD,MT,1804.279275,30001,8860.0
2006.0,BECKER,MN,3233.5349990875,27005,31777.0
2006.0,BECKHAM,OK,16398.9869490375,40009,19315.0
2006.0,BEDFORD,PA,11283.026570362501,42009,49669.0
2006.0,BEDFORD,TN,9427.1958305,47003,43444.0
2006.0,BEDFORD,VA,6823.8127638625,51019,65483.0
2006.0,BEE,TX,3200.3537055,48025,32378.0
2006.0,BELKNAP,NH,19516.664605725,33001,60885.0
2006.0,BELL,KY,25388.8127445,21013,29127.0
2006.0,BELL,TX,21134.0579252125,48027,266536.0
2006.0,BELMONT,OH,28346.20601435,39013,68659.0
2006.0,BELTRAMI,MN,7153.543221,27007,43015.0
2006.0,BENHILL,GA,2999.8909025,13017,17505.0
2006.0,BENEWAH,ID,1966.0409505000002,16009,9254.0
2006.0,BENNETT,SD,274.80105000000003,46007,3421.0
2006.0,BENNINGTON,VT,9059.957733,50003,36552.0
2006.0,BENSON,ND,48.229575,38005,6893.0
2006.0,BENT,CO,734.5743375000001,08011,6070.0
2006.0,BENTON,AR,45191.330190362496,05007,201509.0
2006.0,BENTON,IA,1517.809275,19011,26571.0
2006.0,BENTON,IN,587.2719225000001,18007,8775.0
2006.0,BENTON,MN,4865.8009485,27009,39013.0
2006.0,BENTON,MO,7137.794877,29015,18351.0
2006.0,BENTON,MS,553.5460163625,28009,7955.0
2006.0,BENTON,OR,14335.3550578625,41003,80145.0
2006.0,BENTON,TN,9206.0596065,47005,16139.0
2006.0,BENTON,WA,47357.689661000004,53005,157577.0
2006.0,BENZIE,MI,3173.615475,26019,17585.0
2006.0,BERGEN,NJ,163267.613332375,34003,884581.0
2006.0,BERKELEY,SC,23107.3370928125,45015,158007.0
2006.0,BERKELEY,WV,41103.478175000004,54003,96819.0
2006.0,BERKS,PA,58418.711978125,42011,399279.0
2006.0,BERKSHIRE,MA,48825.7856934375,25003,130494.0
2006.0,BERNALILLO,NM,191571.43402792502,35001,619490.0
2006.0,BERRIEN,GA,3771.4821945,13019,16699.0
2006.0,BERRIEN,MI,39918.246371362504,26021,159658.0
2006.0,BERTIE,NC,2938.71798,37015,18677.0
2006.0,BETHEL,AK,0.3027,02050,17090.0
2006.0,BEXAR,TX,171574.2170037375,48029,1550921.0
2006.0,BIBB,AL,6278.0965395,01007,21285.0
2006.0,BIBB,GA,82240.635748375,13021,154870.0
2006.0,BIENVILLE,LA,2025.9702222625,22013,14922.0
2006.0,BIGHORN,MT,1531.0910865,30003,12703.0
2006.0,BIGHORN,WY,3658.823475,56003,11245.0
2006.0,BIGSTONE,MN,848.0436000000001,27011,5353.0
2006.0,BINGHAM,ID,4270.6384788625,16011,43080.0
2006.0,BLACKHAWK,IA,18140.579529175,19013,126556.0
2006.0,BLACKFORD,IN,5285.6866665,18009,13298.0
2006.0,BLADEN,NC,14031.38309895,37017,32445.0
2006.0,BLAINE,ID,2381.1861615,16013,21515.0
2006.0,BLAINE,MT,271.8288,30005,6552.0
2006.0,BLAINE,OK,1591.5665483625,40011,12493.0
2006.0,BLAIR,PA,46104.713682300004,42013,126008.0
2006.0,BLANCO,TX,916.8591074999999,48031,8967.0
2006.0,BLAND,VA,3009.604752,51021,6742.0
2006.0,BLECKLEY,GA,4733.6288985,13023,12422.0
2006.0,BLEDSOE,TN,2865.9411735,47007,12867.0
2006.0,BLOUNT,AL,10417.4698250875,01009,55978.0
2006.0,BLOUNT,TN,54102.56804395,47009,118037.0
2006.0,BLUEEARTH,MN,7291.4236635,27013,59353.0
2006.0,BOLIVAR,MS,3991.060422725,28011,37614.0
2006.0,BOLLINGER,MO,1758.958575,29017,12115.0
2006.0,BONHOMME,SD,304.2574875,46009,7140.0
2006.0,BOND,IL,1150.6120485000001,17005,18143.0
2006.0,BONNER,ID,11265.890163675,16017,40472.0
2006.0,BONNEVILLE,ID,21481.845323725,16019,93497.0
2006.0,BOONE,AR,10420.7743938625,05009,35959.0
2006.0,BOONE,IA,7234.6323465000005,19015,26246.0
